"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Bryan Hoeing","SD","RP","30.4","25","0","0","1","4.27","1.33","14","30","10","4","22","1","1"
"Michel Otanez","TEX","RP","26.6","32","0","0","1","4.18","1.42","12","22","16","3","26","1","1"
"Sammy Peralta","MIL","RP","25.6","22","0","0","1","4.24","1.30","12","25","9","3","22","1","1"
"Kendall Graveman","","RP","40.9","35","0","0","1","4.54","1.47","21","40","20","5","41","2","2"
"Philip Abner","ARI","RP","27.7","26","0","0","1","4.20","1.36","13","27","11","3","28","1","1"
"Joe Rock","TB","SP,RP","31.6","26","0","0","1","4.30","1.35","15","32","10","4","21","1","2"
"Jesse Scholtens","TB","SP,RP","30.9","27","0","0","1","4.47","1.33","15","31","10","5","26","1","1"
"Jose Suarez","ATL","RP","22.2","21","0","0","1","4.17","1.31","10","21","8","3","18","1","1"
"Kervin Castro","NYY","RP","25.7","24","0","0","1","4.18","1.36","12","23","11","3","25","1","1"
"Hunter Stratton","ATL","RP","23.0","21","0","0","1","4.22","1.31","11","22","8","3","22","1","1"
"Tyler Samaniego","BOS","RP","25.4","21","0","0","1","4.47","1.43","13","26","11","3","25","2","1"
"Ryan Borucki","CWS","RP","19.2","19","0","0","1","4.06","1.31","9","17","8","3","20","1","1"
"Alex Carrillo","NYM","RP","23.4","26","0","0","1","4.36","1.36","11","20","12","3","22","1","2"
"Scott McGough","","RP","31.3","28","0","0","1","4.86","1.42","17","31","13","5","30","2","2"
"Evan Reifert","TB","RP","19.7","22","0","0","1","4.12","1.37","9","17","10","2","19","1","1"
"Franco Aleman","CLE","RP","20.5","23","0","0","1","4.17","1.38","10","18","10","3","20","1","1"
"Jose Corniell","TEX","SP,RP","23.7","21","0","0","1","4.46","1.30","12","22","8","3","15","1","1"
"Tyson Neighbors","BAL","RP","21.2","22","0","0","1","4.32","1.34","10","19","9","3","21","1","1"
"Dom Hamel","NYY","SP,RP","28.9","26","0","0","1","4.54","1.35","15","28","11","4","26","1","1"
"Gregory Santos","SF","RP","21.0","19","0","0","1","3.89","1.41","9","20","10","2","20","1","1"
"Drew Sommers","DET","RP","20.1","17","0","0","1","3.99","1.36","9","20","8","2","21","1","1"
"Jhony Brito","SD","RP","21.7","17","0","0","1","4.26","1.32","10","22","7","3","19","1","1"
"Ryan Johnson","LAA","RP","20.6","20","0","1","1","4.31","1.35","10","21","7","3","19","1","1"
"Carson Seymour","SF","SP,RP","22.0","19","0","0","1","4.18","1.37","10","22","9","2","18","1","1"
"Joey Gerber","NYM","SP,RP","20.7","20","0","0","1","4.47","1.32","10","20","8","3","20","1","1"
"Daison Acosta","SD","RP","20.0","21","0","0","1","4.22","1.39","9","17","11","2","20","1","1"
"Lazaro Estrada","TOR","SP,RP","20.5","19","0","0","1","4.53","1.30","10","20","6","3","17","1","1"
"Jorge Alcala","TOR","RP","22.0","23","0","0","1","4.57","1.35","11","20","9","4","22","1","1"
"Hunter Strickland","","RP","34.4","27","0","0","1","4.90","1.43","19","34","15","5","34","2","2"
"Cole Wilcox","SEA","RP","23.6","19","0","0","1","4.27","1.37","11","23","9","3","22","1","1"
"Miguel Ullola","HOU","SP,RP","19.1","21","0","0","1","4.29","1.39","9","16","10","2","19","1","1"
"Paul Gervase","LAD","RP","23.8","25","0","0","1","4.53","1.39","12","21","12","4","23","1","1"
"Riley Martin","CHC","RP","19.8","20","0","0","1","4.08","1.43","9","18","11","2","19","1","1"
"Ryan Harbin","PIT","RP","35.7","34","0","0","1","4.63","1.55","18","35","21","4","35","2","2"
"Carlos Hernandez","CLE","RP","18.1","18","0","0","1","4.27","1.36","9","17","8","2","17","1","1"
"George Soriano","ATL","RP","26.2","25","0","0","1","4.63","1.38","13","25","11","4","20","1","1"
"Luis Guerrero","TB","RP","29.8","27","0","0","1","4.85","1.49","16","28","17","4","28","2","2"
"Mason Black","KC","SP,RP","45.6","37","0","0","1","4.95","1.46","25","46","20","7","24","2","3"
"Domingo Gonzalez","SEA","RP","16.6","16","0","0","1","4.30","1.35","8","15","7","2","17","1","1"
"Jose Espada","BAL","RP","17.1","18","0","0","1","4.39","1.37","8","15","8","2","15","1","1"
"Welinton Herrera","COL","RP","22.3","22","0","0","1","4.45","1.42","11","22","10","3","22","1","2"
"Prelander Berroa","CWS","RP","30.0","31","0","0","1","4.53","1.48","15","27","18","4","30","1","2"
"Alan Rangel","PHI","SP,RP","26.9","22","0","0","1","4.76","1.35","14","27","9","5","13","1","1"
"Thomas Harrington","PIT","SP,RP","29.6","24","0","0","1","4.74","1.37","16","31","10","4","11","1","2"
"Ty Madden","DET","RP","22.2","20","0","0","1","4.55","1.39","11","22","9","3","14","1","1"
"Albert Suarez","BAL","SP,RP","21.9","18","0","0","1","4.58","1.36","11","22","7","3","19","1","1"
"Alek Jacob","SD","RP","31.2","28","0","0","1","4.75","1.41","16","30","14","5","29","1","2"
"David Sandlin","BOS","SP,RP","19.7","17","0","0","1","4.53","1.36","10","20","7","3","20","1","1"
"Cameron Foster","BAL","RP","22.5","20","0","0","1","4.57","1.39","11","23","9","3","22","1","1"
"J.P. France","HOU","SP,RP","23.4","20","0","0","1","4.54","1.40","12","23","10","3","20","1","1"
"Marco Raya","MIN","SP,RP","19.5","17","0","0","1","4.39","1.40","10","19","8","2","19","1","1"
"Gavin Hollowell","CHC","RP","17.5","18","0","0","1","4.44","1.41","9","16","9","2","17","1","1"
"Cam Booser","TB","RP","20.2","23","0","0","1","4.58","1.45","10","19","10","3","21","1","1"
"Dane Dunning","SEA","SP,RP","13.4","12","0","0","1","4.28","1.34","6","13","4","2","9","1","1"
"Bryce Montes de Oca","WSH","RP","13.0","15","0","0","1","4.01","1.47","6","11","8","1","13","1","1"
"Miguel Castro","LAA","RP","24.3","21","0","0","1","4.61","1.41","12","23","11","3","24","1","1"
"Tanner Rainey","DET","RP","15.4","16","0","0","1","4.41","1.41","8","14","8","2","16","1","1"
"Nick Anderson","ATH","RP","20.8","19","0","0","1","4.67","1.39","11","21","8","3","20","1","1"
"Shane Murphy","CWS","RP","18.0","12","0","0","1","4.57","1.31","9","19","5","3","18","1","1"
"Alex Hoppe","SEA","RP","14.9","13","0","0","1","4.16","1.42","7","14","7","2","15","1","1"
"Ronan Kopp","LAD","SP,RP","13.6","15","0","0","1","4.18","1.46","6","11","9","2","13","1","1"
"Jack Neely","CHC","RP","19.0","20","0","0","1","4.58","1.44","10","17","10","3","19","1","1"
