Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Eduardo Rodriguez","ARI",8,8,,4.15385,24,24,0,0,,130,561,131,65,60,18,46,1,2,117,8.1,3.18462,2.54348,1.24615,0.208556,0.0819964,0.12655971199274063,0.255361,1.36154,0.298942,0.737813,,,4.24283,1.56122,1.73828,999,,,,,,,490,3.769230769230769,506,3.8923076923076922,,,,,,,,,,,,,,,,,,,"Eduardo Rodriguez","13164",593958
"Gage Jump","ATH",8,8,,4.16667,26,24,0,0,,108,459,103,54,50,14,33,1,5,97,8.08333,2.75,2.93939,1.16667,0.211329,0.0718954,0.13943355530500412,0.244656,1.25926,0.287097,0.704467,,,4.07958,1.56087,1.38548,999,,,,,,,439.2,4.066666666666666,438,4.055555555555555,,,,,,,,,,,,,,,,,,,"Gage Jump","sa3034986",695611
"Ryne Nelson","ARI",7,5,,3.87653,29,23,0,0,,139.3,579,132,65,60,18,38,1,4,114,7.3654,2.45513,3,1.16296,0.196891,0.0656304,0.13126078993082047,0.24581,1.22039,0.281481,0.725138,,,4.08273,1.52652,2.27148,999,,,,,,,568.2200225830079,4.079109907642156,564.5000152587891,4.052404902310343,,,,,,,,,,,,,,,,,,,"Ryne Nelson","26253",669194
"Mitch Bratt","ARI",6,5,,3.87863,23,22,0,0,,113.7,482,113,53,49,15,27,0,4,99,7.83641,2.1372,3.66667,1.18734,0.205394,0.0560166,0.14937759563326836,0.250554,1.23131,0.290801,0.731092,,,3.92669,1.52493,1.90612,999,,,,,,,468.0799774169922,4.116798504665472,478.49998474121094,4.20844325052208,,,,,,,,,,,,,,,,,,,"Mitch Bratt","sa3017719",683352
"Clayton Kershaw",,7,5,,4.21101,24,21,0,0,,109,459,106,55,51,13,35,1,3,84,6.93578,2.88991,2.4,1.07339,0.183007,0.0762527,0.10675381869077682,0.251781,1.29358,0.287037,0.700326,,,4.19018,1.52425,1.29256,999,,,,,,,425.1,3.9000000000000004,430,3.944954128440367,,,,,,,,,,,,,,,,,,,"Clayton Kershaw","2036",477132
"Kodai Senga","NYM",8,7,,3.81775,25,25,0,1,,127.3,541,110,58,54,15,58,0,4,125,8.83739,4.10055,2.15517,1.06049,0.231054,0.107209,0.12384473532438278,0.229645,1.31972,0.280236,0.748299,,,4.1642,1.52011,2.01619,999,,,,,,,539.5200225830079,4.238177609183945,509.50001525878906,4.002356661779779,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Jhoan Duran","PHI",9,3,,2.56372,66,0,29,3,,66.7,271,51,21,19,3,20,4,4,81,10.9295,2.69865,4.05,0.404798,0.298893,0.0738007,0.22509223967790604,0.206478,1.06447,0.294479,0.748503,,,2.37052,1.51323,1.50118,999,,,,,,,571.0799774169923,8.561919093641615,541.4999847412109,8.118440922289752,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Logan Henderson","MIL",8,7,,4.1302,21,20,0,1,,93.7,392,84,46,43,14,29,0,3,96,9.22092,2.78549,3.31034,1.34472,0.244898,0.0739796,0.17091836780309677,0.233333,1.20598,0.28,0.717345,,,4.05296,1.50731,1.24745,999,,,,,,,402.7799774169922,4.298612492372641,386.49998474121094,4.124866567014991,,,,,,,,,,,,,,,,,,,"Logan Henderson","31475",701656
"David Festa","MIN",5,6,,4.22028,21,19,0,1,,91.7,391,86,46,43,12,32,0,4,93,9.12759,3.14068,2.90625,1.17775,0.237852,0.0818414,0.1560102328658104,0.242254,1.2868,0.296,0.711462,,,3.98574,1.49142,1.06297,999,,,,,,,389.3799774169921,4.246237626777328,384.49998474121094,4.193020692882166,,,,,,,,,,,,,,,,,,,"David Festa","30056",701581
"Lucas Braun","ATL",6,6,,4.29231,25,24,0,0,,130,554,130,67,62,18,36,0,4,110,7.61538,2.49231,3.05556,1.24615,0.198556,0.064982,0.1335740089416504,0.252918,1.27692,0.290155,0.703125,,,4.16591,1.48248,1.49092,999,,,,,,,502.6,3.8661538461538463,516,3.9692307692307693,,,,,,,,,,,,,,,,,,,"Lucas Braun","sa3022996",814351
"Mike Burrows","HOU",4,4,,3.96226,28,23,0,1,,111.3,465,99,53,49,16,37,1,4,112,9.0566,2.99191,3.02703,1.2938,0.24086,0.0795699,0.16129031777381897,0.233491,1.22192,0.280405,0.730634,,,4.0965,1.47807,1.48531,999,,,,,,,474.42002258300806,4.262533778749212,453.50001525878906,4.07457325089109,,,,,,,,,,,,,,,,,,,"Mike Burrows","24728",681347
"Griffin Jax","TBR",6,3,,2.72727,68,1,12,10,,66,266,51,22,20,6,17,2,2,88,12,2.31818,5.17647,0.818182,0.330827,0.0639098,0.26691728085279465,0.206478,1.0303,0.294118,0.771812,,,2.51392,1.46328,1.32009,999,,,,,,,501.0000000000001,7.590909090909093,471,7.136363636363637,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Stephen Kolek","KCR",7,7,,4.23285,29,24,0,1,,129.7,562,130,66,61,12,42,1,10,89,6.17579,2.91442,2.11905,0.832691,0.158363,0.0747331,0.08362989127635956,0.254902,1.32614,0.288509,0.68299,,,4.16829,1.43934,1.53006,999,,,,,,,500.1799774169921,3.8564378503153924,518.4999847412109,3.9976869463468256,,,,,,,,,,,,,,,,,,,"Stephen Kolek","21487",663568
"Justin Verlander",,7,7,,4.24084,25,25,0,0,,133.7,569,133,68,63,18,43,0,5,109,7.33732,2.89454,2.53488,1.21167,0.191564,0.0755712,0.1159929633140564,0.255278,1.31638,0.291878,0.71618,,,4.33185,1.43603,1.43381,999,,,,,,,496.17997741699224,3.711144268829512,508.49998474121094,3.8032909225724287,,,,,,,,,,,,,,,,,,,"Justin Verlander","8700",434378
"Jameson Taillon","CHC",9,8,,4.24466,26,26,0,0,,135.7,562,133,69,64,22,31,0,3,105,6.96389,2.05601,3.3871,1.4591,0.186833,0.0551601,0.13167259842157364,0.251894,1.20855,0.276808,0.713213,,,4.44685,1.43389,1.50086,999,,,,,,,495.77997741699215,3.6535002842047914,500.49998474121094,3.68828294765628,,,,,,,,,,,,,,,,,,,"Jameson Taillon","11674",592791
