Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dylan Howard","HOU",0.0471,0.0734,0.0543,5.45949,0.2134,0.1674,0,0,,1,4.511,1.1165,0.6484,0.60661,0.163778,0.4623,0.0052,0.0451,0.6461,5.8149,4.1607,1.39758,1.474,0.143228,0.102483,0.0407448336482048,0.278874,1.5788,0.298311,0.689435,0.436276,,5.49425,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dylan Howard","sa3034164",703440
"Hunter Riggins",,0.0461,0.0695,0.0402,5.55048,0.3849,0.1309,0,0,,1,4.583,1.1702,0.6616,0.61672,0.145333,0.5011,0.0102,0.0397,0.575,5.175,4.5099,1.14748,1.308,0.125464,0.109339,0.01612480729818344,0.289496,1.6713,0.308521,0.687885,0.474872,,5.49687,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Hunter Riggins","sa3020340",806329
"Devereaux Harrison","TOR",0.047,0.0683,0.0416,5.28939,0.3964,0.1284,0,0,,1,4.468,1.0585,0.6241,0.58771,0.181778,0.4398,0.0101,0.036,0.7135,6.4215,3.9582,1.62233,1.636,0.159691,0.0984333,0.06125783920288086,0.265142,1.4983,0.283095,0.70284,0.352147,,5.49865,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Devereaux Harrison","sa3020259",687288
"Carson Dorsey","BAL",0.049,0.0721,0.0573,5.3946,0.1911,0.1721,0,0,,1,4.564,1.1011,0.6405,0.5994,0.157111,0.5271,0.0046,0.0417,0.6924,6.2316,4.7439,1.3136,1.414,0.151709,0.115491,0.03621821850538254,0.275606,1.6282,0.30009,0.70137,0.417302,,5.49918,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Carson Dorsey","sa3025643",805955
"Ian McKinney",,0.0458,0.0758,0.0576,5.44104,0.1754,0.1754,0,0,,1,4.535,1.1148,0.6436,0.60456,0.165556,0.4745,0.0042,0.0399,0.6633,5.9697,4.2705,1.39789,1.49,0.146262,0.104631,0.041631750762462616,0.277272,1.5893,0.297406,0.696637,0.386991,,5.50396,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ian McKinney","sa738318",641855
"Clark Candiotti","SDP",0.0465,0.0751,0.0597,5.32989,0.1754,0.1754,0,0,,1,4.531,1.0539,0.6315,0.59221,0.164222,0.5263,0.0042,0.0473,0.7397,6.6573,4.7367,1.40547,1.478,0.163253,0.116155,0.04709777235984802,0.266311,1.5802,0.291365,0.70259,0.397942,,5.51143,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Clark Candiotti","sa3028358",690711
"Edwin Jimenez","MIL",0.0447,0.0755,0.0535,5.43969,0.2266,0.1646,0,0,,1,4.492,1.1292,0.6445,0.60441,0.173667,0.413,0.0056,0.0419,0.6191,5.5719,3.717,1.49903,1.563,0.137823,0.0919412,0.045881569385528564,0.279706,1.5422,0.294524,0.691035,0.410686,,5.5193,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Edwin Jimenez","sa3010800",683720
"Braydon Tucker","PHI",0.0472,0.0724,0.0534,5.35446,0.2439,0.1609,0,0,,1,4.433,1.1209,0.6339,0.59494,0.182667,0.3597,0.0059,0.0467,0.6027,5.4243,3.2373,1.67556,1.644,0.135958,0.0811414,0.054816149175167084,0.278374,1.4806,0.289468,0.691259,0.399273,,5.5236,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Braydon Tucker","sa3023249",685319
"Silvano Hechavarria","TOR",0.047,0.073,0.0532,5.44257,0.2307,0.1637,0,0,,1,4.495,1.1107,0.6433,0.60473,0.178444,0.4197,0.0056,0.0402,0.6554,5.8986,3.7773,1.56159,1.606,0.145806,0.0933704,0.05243603140115738,0.27526,1.5304,0.291216,0.692734,0.383155,,5.52381,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Silvano Hechavarria","sa3024856",827664
"Noah Skirrow",,0.0447,0.0749,0.0514,5.46408,0.2464,0.1604,0,0,,1,4.51,1.1441,0.6485,0.60712,0.165,0.4187,0.0061,0.0481,0.5769,5.1921,3.7683,1.37784,1.485,0.127916,0.0928381,0.03507760167121887,0.282969,1.5628,0.29658,0.686514,0.423997,,5.52674,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Noah Skirrow","sa3014845",659418
"Cade Smith","NYY",0.0491,0.0723,0.0603,5.30298,0.1754,0.1754,0,0,,1,4.531,1.0705,0.6297,0.58922,0.168556,0.5017,0.0042,0.0416,0.7122,6.4098,4.5153,1.41957,1.517,0.157184,0.110726,0.04645773768424988,0.26845,1.5722,0.2903,0.705347,0.413986,,5.53186,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cade Smith","sa3023371",694696
"Rayven Antonio","ATL",0.0474,0.0739,0.0548,5.55462,0.1837,0.1737,0,0,,1,4.591,1.1568,0.6625,0.61718,0.143889,0.5172,0.0045,0.048,0.5847,5.2623,4.6548,1.13051,1.295,0.127358,0.112655,0.014702677726745605,0.287347,1.674,0.307202,0.686901,0.479363,,5.53189,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Rayven Antonio","sa3021808",810982
"Peter Heubeck","LAD",0.0548,0.0664,0.0623,5.19669,0.1754,0.1754,0,0,,1,4.484,0.9907,0.6148,0.57741,0.177222,0.5344,0.0041,0.0501,0.83,7.47,4.8096,1.55314,1.595,0.185103,0.119179,0.0659232884645462,0.254058,1.5251,0.281258,0.712849,0.379167,,5.53253,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Peter Heubeck","sa3017936",695646
