Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Justin Barry,18,CPX,BOS,2B,1322,,,,,1322
Logan Davidson,27,MLB,LAA,3B,1322.6666666666667,1101,,1141,,1726
Elijah Nunez,23,A+,WSN,CF,1324.6,1151,1813,1123,713,1823
Junior Tilien,22,A+,DET,2B,1324.75,1256,,1425,1028,1590
Heribert Silva,19,CPX,CLE,LF,1325,,,,,1325
Nixon Chirinos,19,A,MIA,C,1326,,,1028,,1624
DJ Layton,18,CPX,BAL,SS,1327,,,,,1327
Steven Herrera,17,DSL,MIA,SS,1327,,1567,,,1087
Jacob Burke,24,AA,CHW,CF,1328.4,1209,1087,1581,999,1766
Jonnhan Sanchez,18,DSL,NYM,OF,1332,,,,,1332
Dustin Dickerson,24,AAA,KCR,SS,1332,1191,1861,798,511,2299
Blake Hunt,26,AAA,SEA,C,1332.5,974,1702,1194,,1460
Wesly Castillo,17,DSL,TEX,OF,1334,,,,,1334
Silas Ardoin,24,AAA,BAL,C,1334.4,993,2140,862,577,2100
Cesar Quintas,22,A,SEA,OF,1334.4,1139,1675,1104,972,1782
Zach MacDonald,21,A,DET,CF,1335.4,1237,943,1319,1064,2114
Byron Chourio,20,A,MIN,LF,1335.6,862,2127,1144,660,1885
Darian Castillo,18,DSL,SDP,2B,1337,,1648,,,1026
Austin Hendrick,24,AA,CIN,RF,1337,794,1726,980,850,2335
Angel Barboza,18,DSL,CIN,C,1337,,,,,1337
Angel Del Rosario,22,AA,MIN,3B,1337.75,1611,,1180,1122,1438
Alan Angulo,17,DSL,KCR,SS,1338,,,,,1338
Aeverson Arteaga,22,AA,SFG,SS,1338.2,1038,1884,1100,817,1852
Canyon Brown,21,A+,KCR,C,1338.8,1005,2055,1077,814,1743
Nikau Pouaka-Grego,20,A+,PHI,3B,1340.5,1084,2188,1265,,825
Quincy Scott,22,A+,TEX,CF,1341,986,1827,1060,782,2050
Derek Berg,23,AA,PIT,C,1343,1421,1799,988,745,1762
Pascual Archila,18,DSL,TOR,CF,1343,,1518,,,1168
Yojanser Calzado,18,DSL,CIN,OF,1344,,1653,,,1035
Carlos Villarroel,18,DSL,NYY,1B,1344.5,,1652,,,1037
Edwin Darville,18,DSL,BOS,SS,1346,,1590,,,1102
Eric Rataczak,24,AA,MIA,1B,1346,1216,1419,1368,818,1909
Yovanny Rodriguez,18,DSL,NYM,C,1347,,1299,,,1395
Andres Arias,18,CPX,TOR,RF,1349,,1136,,,1562
Jose M. Mendoza,17,DSL,CHW,C,1349.5,,1113,,,1586
Slate Alford,22,A,LAA,3B,1350,745,2026,1286,,1343
Luis Encarnacion,22,AA,HOU,1B,1350.5,1189,,1508,1005,1700
Ryan McCrystal,22,A+,CIN,C,1351.2,1204,1926,769,830,2027
Dalton Davis,24,A,SEA,1B,1351.5,,,1307,,1396
Kendrick Herrera,18,CPX,PIT,3B,1352,,1620,,,1084
Juan Rujano,17,DSL,STL,SS,1352.5,,1166,,,1539
William Lugo,23,AA,PIT,SS,1353.2,1055,2005,1263,914,1529
Brenny Escanio,22,A+,NYY,2B,1353.25,991,,1331,928,2163
Ariel Almonte,21,A+,CIN,RF,1354.75,1058,,1168,964,2229
Danny Cancro,18,DSL,COL,3B,1355,,,,,1355
Jesus Fernandez,19,A,OAK,SS,1356.3333333333333,1353,,1556,,1160
Nehomar Ochoa Jr.,19,A,HOU,RF,1356.3333333333333,1110,,2068,,891
