Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Zach McCambley,26,AAA,PHI,275.1666666666667,,141.5,,400,284
Dalton Rogers,24,AA,BOS,275.3,211,491.5,189,238,247
Tanner McDougal,22,AA,CHW,275.4,522,399,106,117,233
Andre Granillo,25,MLB,STL,275.75,,26,413,262,402
Will Watson,22,AA,NYM,276.6,600,293,54,142,294
Conrad Cason,18,CPX,BOS,278,,,,,278
Keone Kela,32,MLB,CHW,279,,,,,279
PJ Poulin,28,MLB,WSN,279.25,,168.5,,,390
Mitch Farris,24,MLB,LAA,280.2,219,478,170,109,425
A.J. Causey,22,AA,KCR,281.1666666666667,,101.5,,303,439
Nate Garkow,27,AA,TOR,281.25,,41.5,,,521
Andrew Sears,22,AA,DET,285.8,658,269,69,99,334
Shane Drohan,26,AAA,CHW,286.625,55,365.5,576,,150
Connor Prielipp,24,AAA,MIN,286.7,247,434.5,383,247,122
Zachary Cawyer,22,AA,KCR,286.8333333333333,,261.5,,256,343
Cristian Mena,22,MLB,ARI,287.7,30,582.5,711,87,28
Kai-Wei Teng,26,MLB,SFG,289,302,114,677,,63
Melvin Hernandez,18,A,MIL,289.9,51,629.5,22,134,613
Dylan Smith,25,MLB,DET,290.75,,105,586,191,281
Forrest Whitley,27,MLB,TBR,291.25,202,184,603,,176
William Kempner,24,AAA,MIA,291.3333333333333,,54,,518,302
Drew Sommers,24,MLB,DET,291.8333333333333,,137.5,,561,177
Garrett Hawkins,25,AA,SDP,292.5,,66.5,,467,344
Matt Wilkinson,22,A+,CLE,292.7,225,491.5,292,329,126
Saul Garcia,22,AA,NYM,292.8333333333333,,61.5,,223,594
Alex Clemmey,19,AA,WSN,293,486,704,8,110,157
Manuel Rodriguez,19,AA,MIL,294.8,71,1098,13,19,273
Hancel Rincon,23,AA,STL,295,208,698,191,62,316
Matt McShane,22,A+,BOS,295.3,598,51.5,489,135,203
K.C. Hunt,24,AA,MIL,297.4,357,615,127,220,168
Tate Kuehner,24,AAA,MIL,298.2,235,559,75,208,414
Grant Umberger,23,A+,CHW,300.1,115,168.5,187,195,835
Griff McGarry,26,AAA,WSN,300.6,309,258,637,178,121
Josh Trentadue,23,AA,TEX,301.5,186,230.5,312,234,545
Hunter Barco,24,MLB,PIT,303,460,277,,392,83
Chase Hampton,22,AA,NYY,303.25,,503.5,,,103
Joander Suarez,25,AAA,NYM,304.1,501,408.5,256,170,185
Peyton Fosher,22,A+,MIA,306,,,,,306
Rhett Lowder,23,MLB,CIN,308,,532,,,84
Evan Sisk,28,MLB,PIT,308,,445,,,171
Kohl Drake,24,AAA,ARI,308.4,392,515,193,245,197
Konner Eaton,22,AA,COL,308.6,132,1147,30,111,123
John Klein,23,AAA,MIN,308.875,304,428.5,,228,275
Brandon Clarke,22,A+,STL,309.7,671,168.5,310,360,39
Riley Gowens,25,AA,CHW,309.8,349,552,231,196,221
Andrew Painter,22,AAA,PHI,311.6,241,1010,94,156,57
Josh Grosz,22,AA,COL,311.6,128,755,152,233,290
Hans Crouse,26,MLB,FA,313.25,,192.5,,,434
Xavier Rivas,22,A+,NYY,313.6,330,547,169,193,329
Garrett Baumann,20,A+,ATL,313.9,439,726.5,78,118,208
Cooper Hjerpe,23,AA,STL,314,,511,,,117
Jedixson Paez,21,A+,CHW,314.1666666666667,,677.5,,137,128
Luinder Avila,23,MLB,KCR,314.5,99,592.5,507,273,101
Philip Abner,23,MLB,ARI,316.6666666666667,,114,,317,519
Landon Beidelschies,21,A,ATL,319,,,,,319
Brooks Kriske,31,MLB,MIN,322.6666666666667,,79,647,,242
Wilber Dotel,22,AA,PIT,322.7,221,765.5,71,144,412
Brian Hendry,24,A+,NYY,325,,,,,325
Michael Petersen,31,MLB,MIA,325.5,,206,,,445
Brian Metoyer,28,AA,NYM,325.75,,177.5,,,474
Jonathan Bowlan,28,MLB,PHI,327.3333333333333,,172,697,,113
Jose Urbina,19,A+,TBR,328.8,79,891,43,58,573
Carson Dorsey,22,A+,BAL,329.7,176,124.5,720,160,468
Luis Velasquez,22,AA,NYY,329.75,,320.5,,,339
Nick Burdi,32,MLB,NYY,331.25,,394.5,,,268
Alfredo Zarraga,24,AAA,TBR,331.25,,370.5,,,292
Prelander Berroa,24,MLB,CHW,331.75,,422.5,,,241
Jose Rodriguez,23,AAA,LAD,332,,,,509,155
